{'it': 78, 'wall': 505.6, 'records': 798, 'policy_loss': 3.7352, 'value_loss': 0.0007, 'ep_len': 39.9, 'fresh_rows': 28102, 'hit_rows': 10599}
{'it': 79, 'wall': 511.7, 'records': 786, 'policy_loss': 3.6356, 'value_loss': 0.0128, 'ep_len': 34.2, 'fresh_rows': 25724, 'hit_rows': 9817}
{'it': 80, 'wall': 518.6, 'records': 778, 'policy_loss': 3.5731, 'value_loss': 0.0016, 'ep_len': 33.8, 'fresh_rows': 27020, 'hit_rows': 10697}
{'it': 81, 'wall': 525.5, 'records': 773, 'policy_loss': 3.6058, 'value_loss': 0.0012, 'ep_len': 32.2, 'fresh_rows': 26405, 'hit_rows': 10208}
{'it': 82, 'wall': 532.3, 'records': 799, 'policy_loss': 3.3875, 'value_loss': 0.0018, 'ep_len': 29.6, 'fresh_rows': 26379, 'hit_rows': 10492}
{'it': 83, 'wall': 538.8, 'records': 798, 'policy_loss': 3.4039, 'value_loss': 0.001, 'ep_len': 33.2, 'fresh_rows': 26318, 'hit_rows': 11752}
{'it': 84, 'wall': 545.3, 'records': 790, 'policy_loss': 3.3283, 'value_loss': 0.001, 'ep_len': 32.9, 'fresh_rows': 27164, 'hit_rows': 12758}
{'it': 85, 'wall': 551.5, 'records': 804, 'policy_loss': 3.3529, 'value_loss': 0.0006, 'ep_len': 35.0, 'fresh_rows': 23794, 'hit_rows': 11674}
{'it': 86, 'wall': 558.4, 'records': 784, 'policy_loss': 3.3067, 'value_loss': 0.0006, 'ep_len': 37.3, 'fresh_rows': 25706, 'hit_rows': 13453}
{'it': 87, 'wall': 564.1, 'records': 794, 'policy_loss': 3.1899, 'value_loss': 0.0006, 'ep_len': 36.1, 'fresh_rows': 22707, 'hit_rows': 12607}
{'it': 88, 'wall': 570.6, 'records': 774, 'policy_loss': 3.1198, 'value_loss': 0.0009, 'ep_len': 32.2, 'fresh_rows': 24876, 'hit_rows': 14596}
{'it': 89, 'wall': 576.3, 'records': 773, 'policy_loss': 3.3945, 'value_loss': 0.0008, 'ep_len': 36.8, 'fresh_rows': 21928, 'hit_rows': 11973}
{'it': 90, 'wall': 582.3, 'records': 793, 'policy_loss': 3.1598, 'value_loss': 0.0009, 'ep_len': 30.5, 'fresh_rows': 24108, 'hit_rows': 11997}
{'it': 91, 'wall': 588.0, 'records': 782, 'policy_loss': 3.1764, 'value_loss': 0.001, 'ep_len': 30.1, 'fresh_rows': 21794, 'hit_rows': 12472}
{'it': 92, 'wall': 594.4, 'records': 785, 'policy_loss': 3.0596, 'value_loss': 0.0249, 'ep_len': 30.2, 'fresh_rows': 23435, 'hit_rows': 13954}
